rdt_id,cause_group,rdt_lines,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,long_disruption
63291,rolling stock,"Arnhem Centraal - Basel SBB, Arnhem Centraal - Düsseldorf Hbf, Arnhem Centraal - Frankfurt (M) Hbf, Arnhem Centraal - Winterswijk",12,Friday,11,0,5,4.0,0
63292,rolling stock,'s-Hertogenbosch - Tilburg,15,Friday,11,0,2,1.0,0
63293,external,"Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport",15,Friday,11,0,2,2.0,1
63294,external,"Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport",15,Friday,11,0,2,2.0,1
63295,infrastructure,"Leiden Centraal - Schiphol Airport, Schiphol Airport - Utrecht Centraal",19,Friday,11,0,9,2.0,1
63296,rolling stock,'s-Hertogenbosch - Utrecht Centraal,19,Friday,11,0,9,1.0,0
63298,infrastructure,Eindhoven - Roermond,23,Friday,11,0,2,1.0,1
63299,engineering work,Leiden Centraal - Schiphol Airport,1,Saturday,11,1,5,1.0,1
63300,infrastructure,Eindhoven - Roermond,6,Saturday,11,1,2,1.0,1
63301,weather,Aachen Hbf - Heerlen,7,Saturday,11,1,4,1.0,1
63302,weather,Heerlen - Maastricht,7,Saturday,11,1,10,1.0,1
63303,rolling stock,Winterswijk - Zutphen,7,Saturday,11,1,6,1.0,0
63304,rolling stock,Winterswijk - Zutphen,8,Saturday,11,1,2,1.0,1
63305,staff,Aachen Hbf - Heerlen,11,Saturday,11,1,6,1.0,1
63306,accidents,Groningen - Zwolle,11,Saturday,11,1,3,1.0,1
63307,external,Arnhem Centraal - Utrecht Centraal,11,Saturday,11,1,4,1.0,1
63308,rolling stock,Amersfoort - Zwolle,13,Saturday,11,1,2,1.0,1
63309,rolling stock,Leeuwarden - Zwolle,17,Saturday,11,1,8,1.0,0
63310,accidents,Eindhoven - Roermond,17,Saturday,11,1,5,1.0,1
63311,rolling stock,"Amsterdam Centraal - Utrecht Centraal, Amsterdam Centraal - Woerden",18,Saturday,11,1,8,2.0,0
63312,unknown,"Breda - Dordrecht, Dordrecht - Roosendaal",18,Saturday,11,1,3,2.0,0
63314,accidents,Emmen - Zwolle,19,Saturday,11,1,3,1.0,1
63315,rolling stock,Den Haag Centraal - Den Haag HS,21,Saturday,11,1,2,1.0,0
63316,external,Groningen - Eemshaven,0,Sunday,11,1,3,1.0,0
